universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional Agraria La Molina,Público,1,1,1,600,7438,120.0,215.0,100,100,100,3.83,13.5,11.33,71.67,5.67,21.5,77.67,56.32,33.33,48.49,0.2,15.07,25.06,1,13.758,206.6,0.0,59.60232558139535,3.33953488372093,47.906976744186046,4.996959712207312,6.0,37.67441860465116,12.4,1.61
Universidad Nacional Agraria de la Selva,Público,1,1,1,213,3662,94.0,47.0,100,100,100,0.0,0.0,0.0,90.61,0.94,13.62,86.38,58.37,13.62,39.24,0.96,0.0,21.64,1,12.594,217.1,0.0,34.08510638297872,2.3404255319148937,68.08510638297872,3.1460235629924127,4.0,17.02127659574468,17.2,2.57
Universidad Marcelino Champagnat,Privado,0,1,1,94,2528,1071.0,6.0,100,86,100,4.26,18.09,1.06,0.0,21.28,77.66,22.34,52.97,52.13,67.25,0.59,7.24,32.1,1,14.873,128.0,53.22,33.083333333333336,2.333333333333333,33.33333333333333,4.318503308236368,4.0,66.66666666666666,26.9,42.37
Universidad Autónoma del Perú S.A.C.,Privado,0,1,1,460,19236,1305.0,5.0,100,100,100,0.0,10.43,1.96,0.0,20.87,93.91,6.09,46.74,39.78,53.47,0.34,6.95,27.39,1,16.0,185.8,19.23,361.8,4.6,40.0,3.7092402464065706,3.0,40.0,41.8,6.78
Universidad para el Desarrollo Andino,Privado,0,1,1,56,1606,253.0,10.0,100,100,86,0.0,37.5,0.0,0.0,21.43,91.07,1.79,45.21,39.29,47.32,1.31,65.26,34.93,1,16.249,64.7,88.93,37.75,2.7,30.0,4.606981519507187,2.0,10.0,28.7,15.75
Universidad Nacional de Tumbes,Público,1,1,1,381,6328,341.0,64.0,100,100,100,0.0,0.0,1.57,10.5,39.63,44.62,38.85,51.02,33.07,51.47,1.15,0.0,22.0,1,13.158,215.3,0.0,33.5625,2.15625,51.5625,2.891983230663929,5.0,23.4375,16.6,5.39
Universidad de Piura,Privado,0,1,1,862,9925,1442.0,67.0,100,100,100,0.0,9.51,5.8,0.0,30.63,74.36,25.06,49.07,38.17,49.3,0.2,6.24,21.88,2,12.563,191.6,20.94,41.26865671641791,2.567164179104477,31.343283582089555,4.663663203489738,6.0,25.37313432835821,11.5,14.53
Universidad Tecnológica del Perú S.A.C.,Privado,0,1,1,7129,252343,15908.0,19.0,100,100,100,0.0,2.57,0.55,0.0,20.59,95.06,4.25,45.81,40.92,47.14,0.26,2.41,24.42,9,16.196,217.1,3.92,34.5,2.210526315789474,63.1578947368421,2.400086458445909,3.0,21.052631578947366,35.4,6.3
Universidad de Huánuco,Privado,0,1,1,337,20547,1193.0,21.0,100,100,100,0.0,4.15,1.19,2.08,37.69,92.28,7.72,47.82,37.39,56.39,0.6,2.17,24.09,1,13.737,207.8,10.06,29.214285714285715,1.9523809523809523,71.42857142857143,2.439294677487696,4.0,33.33333333333333,61.0,5.81
Universidad Andina del Cusco,Privado,0,1,1,677,18188,1414.0,29.0,100,100,100,5.61,5.32,1.03,1.48,32.05,84.05,15.51,50.97,39.44,54.06,0.42,3.36,23.67,2,16.08,236.3,3.61,42.72413793103448,2.6206896551724137,37.93103448275862,3.3878543274563957,5.0,34.48275862068966,26.9,7.77
Universidad Nacional de Cajamarca,Público,1,1,1,838,9427,152.0,68.0,100,88,100,0.0,0.0,0.36,31.15,17.3,48.33,41.77,54.16,33.17,45.25,1.54,0.0,22.23,1,14.027,215.8,0.0,39.19117647058823,2.5588235294117645,55.88235294117647,2.853122357772678,7.0,23.52941176470588,11.2,1.61
