universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional Agraria La Molina,Público,1,1,1,600,7438,120.0,216,100,100,100,3.83,13.5,36.0,71.67,5.67,21.5,77.67,56.32,33.33,48.49,0.2,15.07,25.06,1,13.758,206.6,0.0,59.384,3.329,48.148,4.977,6,37.963,12.4,1.61
Universidad Nacional Agraria de la Selva,Público,1,1,1,213,3662,94.0,48,100,100,100,0.0,0.0,22.535,90.61,0.94,13.62,86.38,58.37,13.62,39.24,0.96,0.0,21.64,1,12.594,217.1,0.0,34.146,2.354,68.75,3.119,5,16.667,17.2,2.57
Universidad Marcelino Champagnat,Privado,0,1,1,94,2528,1071.0,6,100,86,100,4.26,18.09,6.383,0.0,21.28,77.66,22.34,52.97,52.13,67.25,0.59,7.24,32.1,1,14.873,128.0,53.22,33.083,2.333,33.333,4.319,4,66.667,26.9,42.37
Universidad Autónoma del Perú S.A.C.,Privado,0,1,1,460,19236,1305.0,51,100,100,100,0.0,10.43,11.087,0.0,20.87,93.91,6.09,46.74,39.78,53.47,0.34,6.95,27.39,1,16.0,185.8,19.23,68.863,2.412,58.824,2.686,5,43.137,41.8,6.78
Universidad para el Desarrollo Andino,Privado,0,1,1,56,1606,253.0,5,100,100,86,0.0,37.5,8.929,0.0,21.43,91.07,1.79,45.21,39.29,47.32,1.31,65.26,34.93,1,16.249,64.7,88.93,30.2,2.0,60.0,2.427,4,20.0,28.7,15.75
Universidad Nacional de Tumbes,Público,1,1,1,381,6328,341.0,66,100,100,100,0.0,0.0,17.323,10.5,39.63,44.62,38.85,51.02,33.07,51.47,1.15,0.0,22.0,1,13.158,215.3,0.0,33.076,2.121,51.515,2.866,5,22.727,16.6,5.39
Universidad de Piura,Privado,0,1,1,862,9925,1442.0,68,100,100,100,0.0,9.51,7.889,0.0,30.63,74.36,25.06,49.07,38.17,49.3,0.2,6.24,21.88,2,12.563,191.6,20.94,40.882,2.544,32.353,4.611,6,25.0,11.5,14.53
Universidad Tecnológica del Perú S.A.C.,Privado,0,1,1,7129,252343,15908.0,19,100,100,100,0.0,2.57,0.267,0.0,20.59,95.06,4.25,45.81,40.92,47.14,0.26,2.41,24.42,9,16.196,217.1,3.92,34.5,2.211,63.158,2.4,4,21.053,35.4,6.3
Universidad de Huánuco,Privado,0,1,1,337,20547,1193.0,21,100,100,100,0.0,4.15,6.231,2.08,37.69,92.28,7.72,47.82,37.39,56.39,0.6,2.17,24.09,1,13.737,207.8,10.06,29.214,1.952,71.429,2.439,4,33.333,61.0,5.81
Universidad Andina del Cusco,Privado,0,1,1,677,18188,1414.0,31,100,100,100,5.61,5.32,4.579,1.48,32.05,84.05,15.51,50.97,39.44,54.06,0.42,3.36,23.67,2,16.08,236.3,3.61,41.645,2.581,38.71,3.311,6,32.258,26.9,7.77
