universidad,es_publico,cluster_kmeans,cluster_ward,cluster_gmm,cluster_dbscan,prob_cluster1_gmm,prob_cluster2_gmm
Universidad Nacional Agraria La Molina,1,1,4,3,0,0.0,0.0
Universidad Nacional Agraria de la Selva,1,1,4,3,0,0.0,0.0
Universidad Marcelino Champagnat,0,3,2,1,0,1.0,0.0
Universidad Autónoma del Perú S.A.C.,0,3,2,1,0,1.0,0.0
Universidad para el Desarrollo Andino,0,3,2,2,0,0.0,1.0
Universidad Nacional de Tumbes,1,1,4,3,0,0.0,0.0
Universidad de Piura,0,3,2,1,0,1.0,0.0
Universidad Tecnológica del Perú S.A.C.,0,3,2,1,0,1.0,0.0
Universidad de Huánuco,0,3,2,3,0,0.022,0.0
Universidad Andina del Cusco,0,3,4,3,0,0.0,0.0
Universidad Nacional de Cajamarca,1,1,4,3,0,0.0,0.0
Universidad Privada de Huancayo Franklin Roosevelt S.A.C.,0,3,2,1,0,1.0,0.0
Universidad del Pacífico,0,3,2,1,0,1.0,0.0
Universidad ESAN,0,3,2,1,0,1.0,0.0
Universidad Nacional Intercultural de Quillabamba,1,1,4,3,0,0.0,0.0
Universidad Católica de Trujillo Benedicto XVI,0,3,2,1,0,1.0,0.0
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,1,1,4,3,0,0.0,0.0
Universidad Nacional de Juliaca,1,1,4,3,0,0.0,0.0
Universidad San Pedro,0,1,4,3,0,0.0,0.0
Universidad Nacional de Frontera,1,1,4,3,0,0.0,0.0
Universidad Nacional José María Arguedas,1,1,4,3,0,0.0,0.0
Universidad José Carlos Mariátegui,0,1,4,3,0,0.0,0.0
Universidad César Vallejo S.A.C.,0,3,2,1,0,1.0,0.0
Universidad Nacional Micaela Bastidas de Apurímac,1,1,4,3,0,0.0,0.0
Universidad Católica Santo Toribio de Mogrovejo,0,3,2,1,0,0.988,0.0
Universidad Privada de Pucallpa S.A.C.,0,3,2,1,0,1.0,0.0
Universidad Nacional del Altiplano,1,1,2,3,0,0.0,0.0
