feature,group1,group2,U,p_raw,p_bonferroni,sig
pct_fem_doc,1,2,40.5,0.456469,1.0,n.s.
pct_fem_doc,1,3,309.5,0.0,0.0,***
pct_fem_doc,1,4,217.0,0.005205,0.03123,*
pct_fem_doc,2,3,80.0,0.955661,1.0,n.s.
pct_fem_doc,2,4,16.0,0.224114,1.0,n.s.
pct_fem_doc,3,4,351.0,7.8e-05,0.000468,***
pct_exclusiva,1,2,97.5,0.030742,0.184454,n.s.
pct_exclusiva,1,3,1554.0,0.0,1e-06,***
pct_exclusiva,1,4,227.5,0.001343,0.008061,**
pct_exclusiva,2,3,52.5,0.257755,1.0,n.s.
pct_exclusiva,2,4,10.5,1.0,1.0,n.s.
pct_exclusiva,3,4,241.5,0.083704,0.502224,n.s.
pct_tc,1,2,84.0,0.158907,0.953441,n.s.
pct_tc,1,3,1529.5,2e-06,1.4e-05,***
pct_tc,1,4,259.0,3.4e-05,0.000202,***
pct_tc,2,3,93.5,0.57822,1.0,n.s.
pct_tc,2,4,17.5,0.034477,0.206861,n.s.
pct_tc,3,4,357.0,4.2e-05,0.000251,***
pct_contratado,1,2,37.0,0.354859,1.0,n.s.
pct_contratado,1,3,41.0,0.0,0.0,***
pct_contratado,1,4,58.0,0.022614,0.135684,n.s.
pct_contratado,2,3,23.0,0.043374,0.260246,n.s.
pct_contratado,2,4,10.5,1.0,1.0,n.s.
pct_contratado,3,4,313.5,0.002134,0.012806,*
pct_ordinario,1,2,102.5,0.016936,0.101616,n.s.
pct_ordinario,1,3,1848.5,0.0,0.0,***
pct_ordinario,1,4,255.5,5.4e-05,0.000322,***
pct_ordinario,2,3,88.0,0.724711,1.0,n.s.
pct_ordinario,2,4,17.5,0.034477,0.206861,n.s.
pct_ordinario,3,4,353.5,5.9e-05,0.000352,***
pct_discap,1,2,102.5,0.016823,0.100936,n.s.
pct_discap,1,3,1441.0,6.8e-05,0.000406,***
pct_discap,1,4,22.0,0.000594,0.003563,**
pct_discap,2,3,15.5,0.021498,0.12899,n.s.
pct_discap,2,4,0.0,0.021839,0.131036,n.s.
pct_discap,3,4,1.5,2.4e-05,0.000146,***
pct_fem_mat,1,2,98.5,0.029068,0.174408,n.s.
pct_fem_mat,1,3,313.0,0.0,0.0,***
pct_fem_mat,1,4,147.0,0.585406,1.0,n.s.
pct_fem_mat,2,3,3.0,0.000534,0.003202,**
pct_fem_mat,2,4,5.0,0.266667,1.0,n.s.
pct_fem_mat,3,4,267.0,0.045988,0.275926,n.s.
pct_maestria,1,2,1.5,0.00125,0.007502,**
pct_maestria,1,3,569.0,0.000722,0.004331,**
pct_maestria,1,4,168.0,0.108845,0.65307,n.s.
pct_maestria,2,3,156.0,0.003962,0.023775,*
pct_maestria,2,4,21.0,0.004275,0.025648,*
pct_maestria,3,4,329.0,0.00051,0.003057,**
pct_posgrado,1,2,0.0,0.002797,0.016784,*
pct_posgrado,1,3,763.0,0.093195,0.559167,n.s.
pct_posgrado,1,4,192.5,0.024397,0.146383,n.s.
pct_posgrado,2,3,156.0,0.003992,0.023952,*
pct_posgrado,2,4,21.0,0.004275,0.025648,*
pct_posgrado,3,4,332.5,0.000383,0.002298,**
edad_media_doc,1,2,40.0,0.441134,1.0,n.s.
edad_media_doc,1,3,1502.5,7e-06,4.2e-05,***
edad_media_doc,1,4,139.0,0.772737,1.0,n.s.
edad_media_doc,2,3,107.0,0.306003,1.0,n.s.
edad_media_doc,2,4,13.0,0.666667,1.0,n.s.
edad_media_doc,3,4,127.5,0.205585,1.0,n.s.
