feature,H,p_value,sig
n_areas_ocde,46.204,0.0,***
pct_renacyt_doc,43.435,0.0,***
pct_exclusiva,40.558,0.0,***
pct_contratado,59.38,0.0,***
pct_ordinario,63.252,0.0,***
pct_prod_rec,38.363,0.0,***
pct_fem_doc,34.064,0.0,***
antiguedad_med,35.261,0.0,***
nivel_medio,36.675,0.0,***
pct_fem_renacyt,38.103,0.0,***
puntaje_medio,36.274,0.0,***
pct_tc,29.937,1e-06,***
pct_fem_mat,29.298,2e-06,***
nota_prom_egr,26.488,8e-06,***
pct_maestria,25.774,1.1e-05,***
pct_discap,25.182,1.4e-05,***
edad_media_doc,21.458,8.5e-05,***
pct_posgrado,19.547,0.000211,***
creditos_prom_egr,18.912,0.000285,***
pct_posgrado_egr,17.045,0.000692,***
edad_media_mat,16.902,0.00074,***
n_departamentos,15.182,0.001668,**
ratio_egr_mat,12.101,0.007045,**
ratio_mat_doc,9.741,0.020904,*
pct_doctorado,5.423,0.143291,n.s.
