universidad,cluster_2024-II,cluster_2025-II,transicion
Universidad Nacional Agraria La Molina,2,4,C2 → C4
Universidad Nacional de Cajamarca,2,1,C2 → C1
Universidad ESAN,4,2,C4 → C2
Universidad Nacional de Frontera,3,1,C3 → C1
Universidad Nacional Federico Villarreal,2,3,C2 → C3
Universidad Nacional Hermilio Valdizán de Huánuco,2,3,C2 → C3
Universidad Nacional de Ucayali,1,3,C1 → C3
Universidad Nacional del Callao,2,3,C2 → C3
Facultad de Teología Pontificia y Civil de Lima,1,2,C1 → C2
Universidad Nacional de San Agustín de Arequipa,2,3,C2 → C3
Universidad Nacional José Faustino Sánchez Carrión,2,3,C2 → C3
Universidad Nacional de Huancavelica,2,3,C2 → C3
Universidad Nacional Mayor de San Marcos,2,3,C2 → C3
Universidad Científica del Perú,1,3,C1 → C3
Universidad Nacional del Centro del Perú,2,3,C2 → C3
Escuela de Posgrado Newman S.A.C.,4,1,C4 → C1
Escuela Nacional Superior de Folklore José María Arguedas,1,2,C1 → C2
Escuela Superior de Guerra Naval,4,2,C4 → C2
Conservatorio Regional de Música Luis Duncker Lavalle,1,2,C1 → C2
Instituto Superior de Música Público Daniel Alomía Robles de Huánuco,1,2,C1 → C2
"Escuela Superior de Arte Dramático ""Virgilio Rodríguez Nache""",1,2,C1 → C2
