universidad,total_mat,Business & Law,Engineering,Social Sciences,Health,ICT,Education,Natural Sciences,Agriculture,Arts & Humanities,Services,cluster_main,es_publico,es_licenciada
Universidad de Lima,31314,38.95,26.7,27.46,0.0,6.89,0.0,0.0,0.0,0.0,0.0,1,0,1
Universidad Tecnológica del Perú S.A.C.,239779,38.4,29.33,14.16,4.33,12.28,0.54,0.0,0.0,0.63,0.32,1,0,1
Universidad del Pacífico,6571,71.21,0.0,25.58,0.0,3.21,0.0,0.0,0.0,0.0,0.0,1,0,1
Universidad de Piura,9903,35.65,34.27,17.06,6.63,0.0,3.02,0.0,0.0,3.37,0.0,1,0,1
Universidad Peruana de Ciencias Aplicadas S.A.C.,80273,30.72,26.95,11.83,6.1,11.53,0.76,1.15,0.71,9.2,1.05,1,0,1
Universidad Peruana Unión,14849,23.86,13.72,18.29,22.8,6.03,6.64,6.27,0.0,1.28,1.1,1,0,1
Universidad Autónoma del Perú S.A.C.,17292,48.3,12.34,20.4,6.15,12.06,0.0,0.75,0.0,0.0,0.0,1,0,1
Universidad Andina del Cusco,18188,37.89,16.59,13.03,22.53,3.39,2.42,2.79,0.0,0.0,1.36,1,0,1
Universidad Nacional Agraria La Molina,7438,6.52,8.73,5.78,1.8,0.0,0.0,30.44,46.73,0.0,0.0,2,1,1
Universidad San Ignacio de Loyola S.R.L.,20619,44.64,17.48,11.95,5.48,5.74,4.7,1.05,0.44,5.59,2.92,1,0,1
Universidad Nacional José Faustino Sánchez Carrión,12385,14.07,14.49,8.4,12.68,6.38,20.39,11.04,9.72,0.0,2.84,2,1,1
Universidad de San Martín de Porres,29773,39.4,9.8,15.7,30.11,1.65,0.91,0.0,0.0,0.0,2.41,1,0,1
Universidad Científica del Perú,314,33.76,12.1,14.33,37.58,1.27,0.0,0.64,0.0,0.0,0.32,2,0,1
Universidad de Ingeniería y Tecnología,4434,5.19,54.94,0.0,0.0,21.65,0.0,17.64,0.0,0.59,0.0,1,0,1
Escuela Nacional Superior de Folklore José María Arguedas,960,0.0,0.0,0.0,0.0,0.0,80.94,0.0,0.0,19.06,0.0,4,1,0
Pontificia Universidad Católica del Perú,32287,35.6,26.39,13.93,2.86,7.01,1.68,2.47,0.0,9.54,0.52,1,0,1
Universidad Privada de Tacna,7887,37.0,24.84,12.63,12.2,4.27,5.35,2.07,0.36,0.0,1.29,1,0,1
Universidad Le Cordon Bleu S.A.C.,1049,4.48,4.96,0.0,7.15,0.0,0.0,0.0,0.0,0.0,83.41,1,0,1
Universidad Privada Antenor Orrego,28520,22.41,23.31,7.7,39.42,0.0,3.3,0.0,3.37,0.0,0.48,1,0,1
Universidad Nacional de la Amazonía Peruana,12101,26.77,3.52,5.81,17.25,4.09,17.26,14.27,10.81,0.0,0.21,2,1,1
Facultad de Teología Pontificia y Civil de Lima,324,0.0,0.0,0.0,0.0,0.0,66.36,0.0,0.0,33.64,0.0,4,0,1
Conservatorio Regional de Música Luis Duncker Lavalle,73,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4,1,0
Universidad Nacional Mayor de San Marcos,38616,21.47,11.44,15.55,16.9,6.77,6.01,10.97,2.23,5.28,3.38,2,1,1
Universidad Ricardo Palma,11585,16.89,33.17,8.18,19.19,4.07,0.63,3.4,7.18,6.08,1.21,2,0,1
Universidad Nacional de Jaén,2170,0.6,58.48,0.0,21.2,0.0,0.0,0.0,19.72,0.0,0.0,2,1,1
Universidad Inca Garcilaso de la Vega Asociación Civil,447,59.96,1.79,14.09,5.82,11.19,3.36,0.0,0.0,0.0,3.8,1,0,1
