universidad,es_publico,n_renacyt,cl_baseline,S0_baseline,S1_binaria,S2_binaria_densidad,S4_organizacional
Universidad Nacional Agraria La Molina,1,216,2,2,4,1,1
Universidad Nacional Agraria de la Selva,1,48,2,2,4,1,1
Universidad Marcelino Champagnat,0,6,1,1,1,3,3
Universidad Autónoma del Perú S.A.C.,0,51,1,1,1,3,3
Universidad para el Desarrollo Andino,0,5,1,1,1,3,3
Universidad Nacional de Tumbes,1,66,2,2,4,1,2
Universidad de Piura,0,68,1,1,1,3,2
Universidad Tecnológica del Perú S.A.C.,0,19,1,1,1,3,2
Universidad de Huánuco,0,21,1,1,1,3,2
Universidad Andina del Cusco,0,31,1,1,1,3,2
Universidad Nacional de Cajamarca,1,69,2,2,4,1,1
Universidad Privada de Huancayo Franklin Roosevelt S.A.C.,0,49,1,1,1,3,2
Universidad del Pacífico,0,79,1,1,1,3,2
Universidad ESAN,0,49,1,1,1,3,3
Universidad Nacional Intercultural de Quillabamba,1,18,2,2,4,1,1
Universidad Católica de Trujillo Benedicto XVI,0,31,1,1,1,3,3
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,1,40,2,2,4,1,1
Universidad Nacional de Juliaca,1,53,2,2,4,1,2
Universidad San Pedro,0,6,2,2,4,1,1
Universidad Nacional de Frontera,1,51,2,2,4,1,2
Universidad Nacional José María Arguedas,1,64,2,2,4,1,1
Universidad José Carlos Mariátegui,0,7,2,2,4,1,1
Universidad César Vallejo S.A.C.,0,497,1,1,1,3,3
Universidad Nacional Micaela Bastidas de Apurímac,1,57,2,2,4,1,1
Universidad Católica Santo Toribio de Mogrovejo,0,50,1,1,1,3,2
Universidad Privada de Pucallpa S.A.C.,0,0,4,4,1,3,2
Universidad Nacional del Altiplano,1,10,2,2,4,1,2
Universidad Católica de Santa María,0,144,1,1,1,3,2
Universidad Inca Garcilaso de la Vega Asociación Civil,0,4,1,1,1,3,3
Universidad Señor de Sipán S.A.C.,0,119,1,1,1,3,3
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,1,214,2,2,4,1,1
Universidad Antonio Ruiz de Montoya,0,23,1,1,1,3,2
Universidad Católica San Pablo,0,57,1,1,1,3,2
Universidad Nacional Federico Villarreal,1,52,2,2,4,1,1
Universidad Nacional Amazónica de Madre de Dios,1,54,1,1,1,3,2
Universidad Privada Antenor Orrego,0,115,1,1,1,3,2
Universidad Católica Los Ángeles de Chimbote,0,14,1,1,1,1,3
Universidad Femenina del Sagrado Corazón,0,11,1,1,1,3,3
Universidad de Lima,0,104,1,1,1,3,2
Escuela de Postgrado Gerens S.A.,0,1,3,3,2,2,4
Universidad Nacional Hermilio Valdizán de Huánuco,1,11,2,2,4,1,1
Universidad Continental S.A.C.,0,178,1,1,1,3,2
Pontificia Universidad Católica del Perú,0,259,1,1,1,3,2
Universidad Privada del Norte S.A.C.,0,219,1,1,1,3,2
Universidad Científica del Sur S.A.C.,0,203,1,1,1,3,2
Universidad Católica Sedes Sapientiae,0,18,1,1,1,3,2
Universidad Nacional del Callao,1,133,2,2,4,1,1
Universidad Ricardo Palma,0,103,2,2,4,1,2
Universidad Privada San Juan Bautista S.A.C.,0,3,1,1,1,3,2
Universidad Nacional de Cañete,1,41,2,2,4,1,1
