muestra,empleo,investigacion,rho,p
todas (n=99),pct_ordinario,pct_renacyt_doc,0.503,0.0
todas (n=99),pct_ordinario,n_renacyt,0.347,0.0004
todas (n=99),pct_ordinario,n_areas_ocde,0.425,0.0
todas (n=99),pct_ordinario,puntaje_medio,0.188,0.0625
todas (n=99),pct_contratado,pct_renacyt_doc,-0.168,0.0961
todas (n=99),pct_contratado,n_renacyt,0.026,0.7953
todas (n=99),pct_contratado,n_areas_ocde,-0.049,0.6295
todas (n=99),pct_contratado,puntaje_medio,0.175,0.0835
todas (n=99),pct_exclusiva,pct_renacyt_doc,0.217,0.0307
todas (n=99),pct_exclusiva,n_renacyt,0.365,0.0002
todas (n=99),pct_exclusiva,n_areas_ocde,0.361,0.0002
todas (n=99),pct_exclusiva,puntaje_medio,0.1,0.3228
todas (n=99),pct_tc,pct_renacyt_doc,0.39,0.0001
todas (n=99),pct_tc,n_renacyt,0.102,0.3129
todas (n=99),pct_tc,n_areas_ocde,0.235,0.0194
todas (n=99),pct_tc,puntaje_medio,0.2,0.0468
solo con RENACYT (n=84),pct_ordinario,pct_renacyt_doc,0.336,0.0018
solo con RENACYT (n=84),pct_ordinario,n_renacyt,0.091,0.4113
solo con RENACYT (n=84),pct_ordinario,n_areas_ocde,0.181,0.0999
solo con RENACYT (n=84),pct_ordinario,puntaje_medio,-0.158,0.1513
solo con RENACYT (n=84),pct_contratado,pct_renacyt_doc,-0.358,0.0008
solo con RENACYT (n=84),pct_contratado,n_renacyt,-0.091,0.4117
solo con RENACYT (n=84),pct_contratado,n_areas_ocde,-0.227,0.0376
solo con RENACYT (n=84),pct_contratado,puntaje_medio,0.118,0.2865
solo con RENACYT (n=84),pct_exclusiva,pct_renacyt_doc,0.068,0.5371
solo con RENACYT (n=84),pct_exclusiva,n_renacyt,0.266,0.0146
solo con RENACYT (n=84),pct_exclusiva,n_areas_ocde,0.247,0.0236
solo con RENACYT (n=84),pct_exclusiva,puntaje_medio,-0.101,0.3626
solo con RENACYT (n=84),pct_tc,pct_renacyt_doc,0.244,0.0253
solo con RENACYT (n=84),pct_tc,n_renacyt,-0.22,0.0445
solo con RENACYT (n=84),pct_tc,n_areas_ocde,-0.049,0.6558
solo con RENACYT (n=84),pct_tc,puntaje_medio,-0.069,0.5318
