especificacion,k,ASW,gap,inercia
S0_baseline,2,0.363,1.184,1751.9
S0_baseline,3,0.209,1.262,1481.4
S0_baseline,4,0.227,1.294,1326.6
S0_baseline,5,0.231,1.309,1212.2
S0_baseline,6,0.236,1.331,1137.2
S0_baseline,7,0.227,1.363,1051.5
S0_baseline,8,0.218,1.4,971.1
S1_binaria,2,0.192,1.2,1418.1
S1_binaria,3,0.206,1.243,1227.6
S1_binaria,4,0.238,1.301,1069.6
S1_binaria,5,0.222,1.347,960.1
S1_binaria,6,0.216,1.371,861.5
S1_binaria,7,0.187,1.424,791.3
S1_binaria,8,0.229,1.48,717.8
S2_binaria_densidad,2,0.186,1.232,1528.5
S2_binaria_densidad,3,0.208,1.273,1336.1
S2_binaria_densidad,4,0.234,1.33,1176.0
S2_binaria_densidad,5,0.241,1.36,1062.8
S2_binaria_densidad,6,0.195,1.397,960.3
S2_binaria_densidad,7,0.211,1.418,880.8
S2_binaria_densidad,8,0.228,1.489,819.1
S3_submuestra,2,0.166,1.049,1595.0
S3_submuestra,3,0.176,1.07,1427.1
S3_submuestra,4,0.13,1.077,1305.4
S3_submuestra,5,0.173,1.087,1223.9
S3_submuestra,6,0.132,1.095,1131.3
S3_submuestra,7,0.144,1.098,1041.3
S3_submuestra,8,0.1,1.145,990.4
S4_organizacional,2,0.198,1.202,1343.2
S4_organizacional,3,0.211,1.257,1152.8
S4_organizacional,4,0.171,1.284,1033.8
S4_organizacional,5,0.208,1.318,936.3
S4_organizacional,6,0.234,1.334,832.5
S4_organizacional,7,0.218,1.392,762.6
S4_organizacional,8,0.201,1.446,691.2
