,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Doctoral degree,0.043,0.189,0.058,-0.332,0.091,0.37,-0.047,0.561,0.333,-0.049,-0.297,0.143
Master's degree,0.122,0.219,-0.154,-0.015,-0.308,0.473,-0.025,0.093,0.014,0.503,0.366,0.041
Exclusive dedication,-0.272,0.155,-0.021,-0.321,-0.067,-0.364,-0.19,-0.15,0.057,0.319,-0.155,0.29
Full-time,-0.182,0.284,0.173,0.315,0.181,0.402,0.025,-0.106,0.019,-0.291,0.049,-0.053
Contracted,0.411,-0.216,0.099,-0.036,-0.163,-0.045,0.011,-0.046,0.042,0.063,-0.137,-0.091
Tenured,-0.359,0.338,0.042,-0.069,0.016,-0.083,-0.07,-0.089,0.093,-0.296,-0.05,-0.134
Mean faculty age,-0.232,0.243,-0.117,-0.184,0.294,-0.277,0.138,0.281,0.085,0.095,0.419,-0.141
Female faculty,0.295,0.157,0.376,-0.077,0.183,-0.084,0.019,0.003,-0.197,-0.089,-0.115,0.129
Female students,0.252,0.065,0.323,-0.123,0.176,-0.101,-0.139,0.177,-0.374,-0.081,0.476,0.316
Students with disability,-0.18,-0.184,-0.39,0.023,-0.187,0.051,0.039,0.032,-0.102,-0.383,0.238,0.519
Postgraduate enrolment,0.151,0.306,-0.283,-0.242,-0.127,0.03,-0.01,-0.12,-0.222,-0.099,-0.347,0.317
Mean student age,0.185,0.13,-0.226,-0.327,0.219,0.095,0.433,-0.075,-0.311,-0.142,-0.081,-0.255
Departments,0.104,-0.113,0.146,-0.225,0.017,0.029,0.577,-0.334,0.522,-0.07,0.208,0.257
Mean grade,0.311,0.051,-0.148,0.276,0.08,-0.114,-0.235,0.165,0.344,-0.297,0.003,0.179
Mean credits,-0.276,-0.324,0.252,-0.194,0.025,0.215,0.049,0.194,-0.071,0.003,-0.093,0.073
Postgraduate graduates,0.268,0.358,-0.271,0.103,-0.003,-0.083,0.007,-0.081,0.112,0.019,0.094,-0.126
Student-faculty ratio,-0.002,0.108,0.056,0.373,-0.139,-0.36,0.468,0.461,0.021,0.141,-0.186,0.124
Graduate-enrolment ratio,-0.051,0.059,-0.03,0.299,0.582,0.14,0.022,-0.248,0.008,0.388,-0.165,0.378
Registry presence,0.041,0.307,0.399,-0.083,-0.288,-0.073,-0.157,-0.21,0.216,-0.049,0.073,0.023
Registry density,-0.159,0.248,0.213,0.224,-0.367,0.092,0.305,-0.025,-0.28,-0.005,-0.058,0.125
