indicator,variable,H,p,P1_vs_P2,P1_vs_P3,P2_vs_P3
Contracted,pct_contratado,60.7,6.648854492462974e-14,0.0061,0.4207,0.0
Tenured,pct_ordinario,58.5,1.957413284827779e-13,0.1335,0.0,0.0
Registry presence,has_renacyt,58.1,2.441672412605508e-13,0.0,0.0,1.0
Female faculty,pct_fem_doc,38.9,3.6289978255376532e-09,0.0,0.1226,0.0
Full-time,pct_tc,37.2,8.379527718846646e-09,0.0415,0.0,0.0
Exclusive dedication,pct_exclusiva,34.3,3.5132069309928236e-08,0.5604,0.0001,0.0
Registry density,pct_renacyt_doc_w,33.7,4.760860500514049e-08,0.001,0.0,0.0015
Students with disability,pct_discap,29.6,3.7999090690870484e-07,0.0,0.0112,0.0021
Mean faculty age,edad_media_doc,26.7,1.5906426931807734e-06,0.0767,1.0,0.0
Female students,pct_fem_mat,26.6,1.6575516783035174e-06,0.0028,1.0,0.0
Master's degree,pct_maestria,23.5,8.049440231516967e-06,0.0002,0.2365,0.0007
Mean grade,nota_prom_egr,23.2,9.389853734670348e-06,0.8137,0.2521,0.0
Postgraduate graduates,pct_posgrado_egr,18.7,8.641778234818246e-05,0.0007,0.241,0.0047
Postgraduate enrolment,pct_posgrado,15.0,0.0005665468902448127,0.0004,0.0141,0.3547
Departments,n_departamentos,12.3,0.0021144421655945223,0.0968,1.0,0.0036
Mean credits,creditos_prom_egr,12.2,0.00227216280429486,0.0177,0.8559,0.016
Mean student age,edad_media_mat,10.7,0.004712505912905674,0.7741,0.0232,0.0227
Doctoral degree,pct_doctorado,5.2,0.07536250496649653,0.0952,0.5265,0.6014
Student-faculty ratio,ratio_mat_doc,4.6,0.09788658189825583,1.0,0.3587,0.1646
Graduate-enrolment ratio,ratio_egr_mat,2.4,0.29482526720239605,1.0,0.4486,0.8888
