,,1,2,3
pct_doctorado,mean,0.0,0.74,0.77
pct_doctorado,std,0.0,1.31,1.75
pct_maestria,mean,0.0,10.12,6.59
pct_maestria,std,0.0,10.95,17.11
pct_exclusiva,mean,0.0,1.58,16.93
pct_exclusiva,std,0.0,4.57,20.5
pct_tc,mean,8.33,22.55,44.12
pct_tc,std,25.0,9.34,22.05
pct_contratado,mean,49.56,81.74,28.0
pct_contratado,std,26.41,17.22,20.92
pct_ordinario,mean,8.33,13.55,63.22
pct_ordinario,std,25.0,13.02,24.03
edad_media_doc,mean,52.85,48.36,54.29
edad_media_doc,std,7.3,3.22,5.21
pct_fem_doc,mean,11.51,38.82,29.66
pct_fem_doc,std,14.73,8.3,8.13
pct_fem_mat,mean,37.59,55.9,46.39
pct_fem_mat,std,17.76,11.26,6.57
pct_discap,mean,1.97,0.39,0.79
pct_discap,std,0.87,0.28,0.6
pct_posgrado,mean,0.0,6.78,5.93
pct_posgrado,std,0.0,10.89,8.68
edad_media_mat,mean,25.8,26.03,24.24
edad_media_mat,std,2.12,5.03,3.91
n_departamentos,mean,1.0,2.0,1.08
n_departamentos,std,0.0,2.7,0.49
nota_prom_egr,mean,15.01,15.38,14.24
nota_prom_egr,std,0.89,0.92,1.05
creditos_prom_egr,mean,215.56,178.47,203.05
creditos_prom_egr,std,23.08,50.76,36.48
pct_posgrado_egr,mean,0.0,20.17,9.32
pct_posgrado_egr,std,0.0,24.26,16.01
ratio_mat_doc,mean,88.5,33.89,144.06
ratio_mat_doc,std,133.4,30.02,725.0
ratio_egr_mat,mean,61.18,36.78,204.22
ratio_egr_mat,std,97.42,120.93,853.56
has_renacyt,mean,0.0,0.92,0.97
has_renacyt,std,0.0,0.28,0.16
pct_renacyt_doc_w,mean,0.0,15.51,36.67
pct_renacyt_doc_w,std,0.0,15.88,29.78
