universidad,es_publico,es_universidad,n_renacyt,pct_contratado,pct_ordinario,pct_renacyt_doc_w,P,profile,silhouette
Universidad Nacional Agraria La Molina,1,1,216,21.5,77.67,36.0,3.0,P3,0.14
Universidad Nacional Agraria de la Selva,1,1,48,13.62,86.38,22.535,3.0,P3,0.149
Universidad Marcelino Champagnat,0,1,6,77.66,22.34,6.383,2.0,P2,0.295
Universidad Autónoma del Perú S.A.C.,0,1,51,93.91,6.09,11.087,2.0,P2,0.464
Universidad para el Desarrollo Andino,0,1,5,91.07,1.79,8.929,2.0,P2,0.165
Universidad Nacional de Tumbes,1,1,66,44.62,38.85,17.323,3.0,P3,0.063
Universidad de Piura,0,1,68,74.36,25.06,7.889,2.0,P2,0.238
Universidad Tecnológica del Perú S.A.C.,0,1,19,95.06,4.25,0.267,2.0,P2,0.281
Universidad de Huánuco,0,1,21,92.28,7.72,6.231,2.0,P2,0.347
Universidad Andina del Cusco,0,1,31,84.05,15.51,4.579,2.0,P2,0.223
Universidad Nacional de Cajamarca,1,1,69,48.33,41.77,8.234,3.0,P3,0.081
Universidad Privada de Huancayo Franklin Roosevelt S.A.C.,0,1,49,88.46,2.56,62.821,2.0,P2,0.279
Universidad del Pacífico,0,1,79,84.68,15.32,20.519,2.0,P2,0.395
Universidad ESAN,0,1,49,92.72,7.28,18.774,2.0,P2,0.202
Universidad Nacional Intercultural de Quillabamba,1,1,18,33.87,64.52,29.032,3.0,P3,0.156
Universidad Católica de Trujillo Benedicto XVI,0,1,31,91.03,5.87,5.057,2.0,P2,0.339
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,1,1,40,8.89,91.11,88.889,3.0,P3,0.157
Universidad Nacional de Juliaca,1,1,53,50.96,49.04,50.962,3.0,P3,0.047
Universidad San Pedro,0,1,6,11.84,88.16,7.895,3.0,P3,0.1
Universidad Nacional de Frontera,1,1,51,46.43,53.57,60.714,3.0,P3,0.041
Universidad Nacional José María Arguedas,1,1,64,29.57,60.87,55.652,3.0,P3,0.015
Universidad José Carlos Mariátegui,0,1,7,0.0,100.0,100.0,3.0,P3,0.11
Universidad César Vallejo S.A.C.,0,1,497,98.59,1.41,38.858,2.0,P2,0.353
Universidad Nacional Micaela Bastidas de Apurímac,1,1,57,44.13,55.31,31.844,3.0,P3,0.14
Universidad Católica Santo Toribio de Mogrovejo,0,1,50,83.89,13.07,15.198,2.0,P2,0.308
Universidad Privada de Pucallpa S.A.C.,0,1,0,100.0,0.0,0.0,2.0,P2,0.068
Universidad Nacional del Altiplano,1,1,10,58.79,41.08,0.673,3.0,P3,-0.057
Universidad Católica de Santa María,0,1,144,79.58,20.42,33.411,2.0,P2,0.399
Universidad Inca Garcilaso de la Vega Asociación Civil,0,1,4,90.91,6.06,12.121,2.0,P2,0.238
Universidad Señor de Sipán S.A.C.,0,1,119,86.97,4.39,16.856,2.0,P2,0.434
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,1,1,214,1.79,49.82,76.703,3.0,P3,0.087
Universidad Antonio Ruiz de Montoya,0,1,23,87.1,12.9,37.097,2.0,P2,0.351
Universidad Católica San Pablo,0,1,57,84.68,10.89,22.984,2.0,P2,0.384
Universidad Nacional Federico Villarreal,1,1,52,15.9,84.1,4.864,3.0,P3,0.047
Universidad Nacional Amazónica de Madre de Dios,1,1,54,71.19,28.81,45.763,2.0,P2,0.128
Universidad Privada Antenor Orrego,0,1,115,86.25,13.67,9.583,2.0,P2,0.338
Universidad Católica Los Ángeles de Chimbote,0,1,14,57.14,42.86,100.0,3.0,P3,-0.012
Universidad Femenina del Sagrado Corazón,0,1,11,79.49,20.51,2.785,2.0,P2,0.267
Universidad de Lima,0,1,104,46.82,53.11,6.82,2.0,P2,0.201
Universidad Nacional Hermilio Valdizán de Huánuco,1,1,11,21.8,67.13,1.903,3.0,P3,0.049
Universidad Continental S.A.C.,0,1,178,96.79,2.52,8.803,2.0,P2,0.369
Pontificia Universidad Católica del Perú,0,1,259,67.93,30.25,7.734,2.0,P2,0.226
Universidad Privada del Norte S.A.C.,0,1,219,91.04,4.46,10.384,2.0,P2,0.417
Universidad Científica del Sur S.A.C.,0,1,203,91.23,0.96,9.783,2.0,P2,0.419
Universidad Católica Sedes Sapientiae,0,1,18,71.86,16.45,3.896,2.0,P2,0.331
Universidad Nacional del Callao,1,1,133,26.21,73.55,16.44,3.0,P3,0.118
Universidad Ricardo Palma,0,1,103,55.37,44.63,33.55,3.0,P3,-0.076
Universidad Privada San Juan Bautista S.A.C.,0,1,3,89.73,6.12,0.218,2.0,P2,0.45
Universidad Nacional de Cañete,1,1,41,30.68,56.82,46.591,3.0,P3,-0.034
Universidad Nacional Tecnológica de Lima Sur,1,1,46,22.54,77.46,32.394,3.0,P3,0.198
Universidad Nacional Santiago Antúnez de Mayolo,1,1,47,12.81,81.58,8.246,3.0,P3,0.063
Universidad de Ingeniería y Tecnología,0,1,62,88.05,6.64,27.434,2.0,P2,0.176
Universidad Peruana de Ciencias Aplicadas S.A.C.,0,1,117,92.65,2.25,10.121,2.0,P2,0.438
Universidad Privada Norbert Wiener S.A.,0,1,70,87.97,7.5,6.103,2.0,P2,0.429
