universidad,2024-II,2025-I,2025-II
Asociación Civil Universidad de Ciencias y Humanidades,1,1,1
Conservatorio Regional de Música Luis Duncker Lavalle,1,1,1
"Escuela Nacional Superior de Arte Dramático ""Guillermo Ugarte Chamorro""",1,1,1
Escuela Nacional Superior de Folklore José María Arguedas,1,1,1
"Escuela Superior de Arte Dramático ""Virgilio Rodríguez Nache""",1,1,1
Escuela Superior de Arte Pública Ignacio Merino de Piura,1,1,1
Escuela Superior de Guerra Naval,2,2,1
Escuela Superior de Música Pública José María Valle Riestra de Piura,3,3,3
Escuela de Posgrado Newman S.A.C.,2,2,1
Facultad de Teología Pontificia y Civil de Lima,1,1,1
Instituto Superior de Música Público Daniel Alomía Robles de Huánuco,1,1,1
Instituto Superior de Música Público Leandro Alviña Miranda del Cusco,1,1,1
Pontificia Universidad Católica del Perú,1,1,1
Universidad Andina del Cusco,1,1,1
Universidad Antonio Ruiz de Montoya,1,1,1
Universidad Católica San Pablo,1,1,1
Universidad Católica Santo Toribio de Mogrovejo,1,1,1
Universidad Católica de Santa María,1,1,1
Universidad Católica de Trujillo Benedicto XVI,1,1,1
Universidad Científica del Perú,1,1,3
Universidad Científica del Sur S.A.C.,1,1,1
Universidad Continental S.A.C.,1,1,1
Universidad ESAN,2,2,1
Universidad Femenina del Sagrado Corazón,1,1,1
Universidad Inca Garcilaso de la Vega Asociación Civil,1,1,1
Universidad Jaime Bausate y Meza,1,1,1
Universidad Le Cordon Bleu S.A.C.,1,1,1
Universidad Marcelino Champagnat,1,1,1
Universidad María Auxiliadora S.A.C.,1,1,1
Universidad Nacional Agraria La Molina,3,3,2
Universidad Nacional Amazónica de Madre de Dios,1,1,1
Universidad Nacional Autónoma de Huanta,1,1,3
Universidad Nacional Autónoma de Tayacaja Daniel Hernández Morillo,3,3,3
Universidad Nacional Daniel Alcides Carrión,1,1,1
Universidad Nacional Federico Villarreal,3,3,3
Universidad Nacional Hermilio Valdizán de Huánuco,3,3,3
Universidad Nacional Intercultural de Quillabamba,3,3,3
Universidad Nacional José Faustino Sánchez Carrión,3,3,3
Universidad Nacional José María Arguedas,3,3,3
Universidad Nacional Mayor de San Marcos,3,3,3
Universidad Nacional Micaela Bastidas de Apurímac,3,3,3
Universidad Nacional Pedro Ruiz Gallo,3,1,1
Universidad Nacional Santiago Antúnez de Mayolo,3,3,3
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,3,3,3
Universidad Nacional de Cajamarca,3,3,1
Universidad Nacional de Frontera,3,1,3
Universidad Nacional de Huancavelica,3,3,3
Universidad Nacional de Jaén,3,2,3
Universidad Nacional de Moquegua,1,1,1
Universidad Nacional de San Agustín de Arequipa,3,3,3
Universidad Nacional de San Cristóbal de Huamanga,3,1,3
Universidad Nacional de San Martín,3,3,3
Universidad Nacional del Callao,3,3,3
Universidad Nacional del Centro del Perú,3,3,3
Universidad Peruana Cayetano Heredia,1,1,1
Universidad Peruana Unión,1,1,1
Universidad Peruana de Ciencias Aplicadas S.A.C.,1,1,1
Universidad Privada Antenor Orrego,1,1,1
Universidad Privada San Juan Bautista S.A.C.,1,1,1
Universidad Privada de Huancayo Franklin Roosevelt S.A.C.,1,1,1
Universidad Privada de Tacna,1,1,1
Universidad Ricardo Palma,1,1,1
Universidad San Ignacio de Loyola S.R.L.,1,1,1
Universidad Señor de Sipán S.A.C.,1,1,1
Universidad Tecnológica del Perú S.A.C.,1,1,1
Universidad de Ciencias y Artes de América Latina S.A.C.,1,1,1
Universidad de Huánuco,1,1,1
Universidad de Ingeniería y Tecnología,1,1,1
Universidad de Lima,1,1,1
Universidad de Piura,1,1,1
Universidad del Pacífico,1,1,1
Universidad para el Desarrollo Andino,1,1,1
